"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","Age_Segmented","Fare_Segmented","Name","Family_Size","Family_Segmented"
"305","0","3","male",28,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"306","1","1","male",0.92,1,2,151.55,"C","S","0-10","99-200","Master.",4,"MediumFam"
"307","1","1","female",27,0,0,110.8833,"N","C","21-30","99-200","Miss.",1,"Single"
"308","1","1","female",17,1,0,108.9,"C","C","11-20","99-200","Mrs.",2,"SmallFam"
"309","0","2","male",30,1,0,24,"N","C","21-30","15-31","Mr.",2,"SmallFam"
"310","1","1","female",30,0,0,56.9292,"E","C","21-30","31-99","Miss.",1,"Single"
"311","1","1","female",24,0,0,83.1583,"C","C","21-30","31-99","Miss.",1,"Single"
"312","1","1","female",18,2,2,262.375,"B","C","11-20","200-600","Miss.",5,"MediumFam"
"313","0","2","female",26,1,1,26,"N","S","21-30","15-31","Mrs.",3,"SmallFam"
"314","0","3","male",28,0,0,7.8958,"N","S","21-30","0-8","Mr.",1,"Single"
"315","0","2","male",43,1,1,26.25,"N","S","41-50","15-31","Mr.",3,"SmallFam"
"316","1","3","female",26,0,0,7.8542,"N","S","21-30","0-8","Miss.",1,"Single"
"317","1","2","female",24,1,0,26,"N","S","21-30","15-31","Mrs.",2,"SmallFam"
"318","0","2","male",54,0,0,14,"N","S","51-60","8-15","Otros.",1,"Single"
"319","1","1","female",31,0,2,164.8667,"C","S","31-40","99-200","Miss.",3,"SmallFam"
"320","1","1","female",40,1,1,134.5,"E","C","31-40","99-200","Mrs.",3,"SmallFam"
"321","0","3","male",22,0,0,7.25,"N","S","21-30","0-8","Mr.",1,"Single"
"322","0","3","male",27,0,0,7.8958,"N","S","21-30","0-8","Mr.",1,"Single"
"323","1","2","female",30,0,0,12.35,"N","Q","21-30","8-15","Miss.",1,"Single"
"324","1","2","female",22,1,1,29,"N","S","21-30","15-31","Mrs.",3,"SmallFam"
"325","0","3","male",28,8,2,69.55,"N","S","21-30","31-99","Mr.",11,"LargeFam"
"326","1","1","female",36,0,0,135.6333,"C","C","31-40","99-200","Miss.",1,"Single"
"327","0","3","male",61,0,0,6.2375,"N","S","61-70","0-8","Mr.",1,"Single"
"328","1","2","female",36,0,0,13,"D","S","31-40","8-15","Mrs.",1,"Single"
"329","1","3","female",31,1,1,20.525,"N","S","31-40","15-31","Mrs.",3,"SmallFam"
"330","1","1","female",16,0,1,57.9792,"B","C","11-20","31-99","Miss.",2,"SmallFam"
"331","1","3","female",27,2,0,23.25,"N","Q","21-30","15-31","Miss.",3,"SmallFam"
"332","0","1","male",45.5,0,0,28.5,"C","S","41-50","15-31","Mr.",1,"Single"
"333","0","1","male",38,0,1,153.4625,"C","S","31-40","99-200","Mr.",2,"SmallFam"
"334","0","3","male",16,2,0,18,"N","S","11-20","15-31","Mr.",3,"SmallFam"
"335","1","1","female",27,1,0,133.65,"N","S","21-30","99-200","Mrs.",2,"SmallFam"
"336","0","3","male",28,0,0,7.8958,"N","S","21-30","0-8","Mr.",1,"Single"
"337","0","1","male",29,1,0,66.6,"C","S","21-30","31-99","Mr.",2,"SmallFam"
"338","1","1","female",41,0,0,134.5,"E","C","41-50","99-200","Miss.",1,"Single"
"339","1","3","male",45,0,0,8.05,"N","S","41-50","8-15","Mr.",1,"Single"
"340","0","1","male",45,0,0,35.5,"N","S","41-50","31-99","Mr.",1,"Single"
"341","1","2","male",2,1,1,26,"F","S","0-10","15-31","Master.",3,"SmallFam"
"342","1","1","female",24,3,2,263,"C","S","21-30","200-600","Miss.",6,"LargeFam"
"343","0","2","male",28,0,0,13,"N","S","21-30","8-15","Mr.",1,"Single"
"344","0","2","male",25,0,0,13,"N","S","21-30","8-15","Mr.",1,"Single"
"345","0","2","male",36,0,0,13,"N","S","31-40","8-15","Mr.",1,"Single"
"346","1","2","female",24,0,0,13,"F","S","21-30","8-15","Miss.",1,"Single"
"347","1","2","female",40,0,0,13,"N","S","31-40","8-15","Miss.",1,"Single"
"348","1","3","female",27,1,0,16.1,"N","S","21-30","15-31","Mrs.",2,"SmallFam"
"349","1","3","male",3,1,1,15.9,"N","S","0-10","15-31","Master.",3,"SmallFam"
"350","0","3","male",42,0,0,8.6625,"N","S","41-50","8-15","Mr.",1,"Single"
"351","0","3","male",23,0,0,9.225,"N","S","21-30","8-15","Mr.",1,"Single"
"352","0","1","male",28,0,0,35,"C","S","21-30","31-99","Mr.",1,"Single"
"353","0","3","male",15,1,1,7.2292,"N","C","11-20","0-8","Mr.",3,"SmallFam"
"354","0","3","male",25,1,0,17.8,"N","S","21-30","15-31","Mr.",2,"SmallFam"
"355","0","3","male",28,0,0,7.225,"N","C","21-30","0-8","Mr.",1,"Single"
"356","0","3","male",28,0,0,9.5,"N","S","21-30","8-15","Mr.",1,"Single"
"357","1","1","female",22,0,1,55,"E","S","21-30","31-99","Miss.",2,"SmallFam"
"358","0","2","female",38,0,0,13,"N","S","31-40","8-15","Miss.",1,"Single"
"359","1","3","female",27,0,0,7.8792,"N","Q","21-30","0-8","Miss.",1,"Single"
"360","1","3","female",27,0,0,7.8792,"N","Q","21-30","0-8","Miss.",1,"Single"
"361","0","3","male",40,1,4,27.9,"N","S","31-40","15-31","Mr.",6,"LargeFam"
"362","0","2","male",29,1,0,27.7208,"N","C","21-30","15-31","Mr.",2,"SmallFam"
"363","0","3","female",45,0,1,14.4542,"N","C","41-50","8-15","Mrs.",2,"SmallFam"
"364","0","3","male",35,0,0,7.05,"N","S","31-40","0-8","Mr.",1,"Single"
"365","0","3","male",28,1,0,15.5,"N","Q","21-30","15-31","Mr.",2,"SmallFam"
"366","0","3","male",30,0,0,7.25,"N","S","21-30","0-8","Mr.",1,"Single"
"367","1","1","female",60,1,0,75.25,"D","C","51-60","31-99","Mrs.",2,"SmallFam"
"368","1","3","female",27,0,0,7.2292,"N","C","21-30","0-8","Mrs.",1,"Single"
"369","1","3","female",27,0,0,7.75,"N","Q","21-30","0-8","Miss.",1,"Single"
"370","1","1","female",24,0,0,69.3,"B","C","21-30","31-99","Otros.",1,"Single"
"371","1","1","male",25,1,0,55.4417,"E","C","21-30","31-99","Mr.",2,"SmallFam"
"372","0","3","male",18,1,0,6.4958,"N","S","11-20","0-8","Mr.",2,"SmallFam"
"373","0","3","male",19,0,0,8.05,"N","S","11-20","8-15","Mr.",1,"Single"
"374","0","1","male",22,0,0,135.6333,"N","C","21-30","99-200","Mr.",1,"Single"
"375","0","3","female",3,3,1,21.075,"N","S","0-10","15-31","Miss.",5,"MediumFam"
"376","1","1","female",27,1,0,82.1708,"N","C","21-30","31-99","Mrs.",2,"SmallFam"
"377","1","3","female",22,0,0,7.25,"N","S","21-30","0-8","Miss.",1,"Single"
"378","0","1","male",27,0,2,211.5,"C","C","21-30","200-600","Mr.",3,"SmallFam"
"379","0","3","male",20,0,0,4.0125,"N","C","11-20","0-8","Mr.",1,"Single"
"380","0","3","male",19,0,0,7.775,"N","S","11-20","0-8","Mr.",1,"Single"
"381","1","1","female",42,0,0,227.525,"N","C","41-50","200-600","Miss.",1,"Single"
"382","1","3","female",1,0,2,15.7417,"N","C","0-10","15-31","Miss.",3,"SmallFam"
"383","0","3","male",32,0,0,7.925,"N","S","31-40","0-8","Mr.",1,"Single"
"384","1","1","female",35,1,0,52,"N","S","31-40","31-99","Mrs.",2,"SmallFam"
"385","0","3","male",28,0,0,7.8958,"N","S","21-30","0-8","Mr.",1,"Single"
"386","0","2","male",18,0,0,73.5,"N","S","11-20","31-99","Mr.",1,"Single"
"387","0","3","male",1,5,2,46.9,"N","S","0-10","31-99","Master.",8,"LargeFam"
"388","1","2","female",36,0,0,13,"N","S","31-40","8-15","Miss.",1,"Single"
"389","0","3","male",28,0,0,7.7292,"N","Q","21-30","0-8","Mr.",1,"Single"
"390","1","2","female",17,0,0,12,"N","C","11-20","8-15","Miss.",1,"Single"
"391","1","1","male",36,1,2,120,"B","S","31-40","99-200","Mr.",4,"MediumFam"
"392","1","3","male",21,0,0,7.7958,"N","S","21-30","0-8","Mr.",1,"Single"
"393","0","3","male",28,2,0,7.925,"N","S","21-30","0-8","Mr.",3,"SmallFam"
"394","1","1","female",23,1,0,113.275,"D","C","21-30","99-200","Miss.",2,"SmallFam"
"395","1","3","female",24,0,2,16.7,"G","S","21-30","15-31","Mrs.",3,"SmallFam"
"396","0","3","male",22,0,0,7.7958,"N","S","21-30","0-8","Mr.",1,"Single"
"397","0","3","female",31,0,0,7.8542,"N","S","31-40","0-8","Miss.",1,"Single"
"398","0","2","male",46,0,0,26,"N","S","41-50","15-31","Mr.",1,"Single"
"399","0","2","male",23,0,0,10.5,"N","S","21-30","8-15","Otros.",1,"Single"
"400","1","2","female",28,0,0,12.65,"N","S","21-30","8-15","Mrs.",1,"Single"
"401","1","3","male",39,0,0,7.925,"N","S","31-40","0-8","Mr.",1,"Single"
"402","0","3","male",26,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"403","0","3","female",21,1,0,9.825,"N","S","21-30","8-15","Miss.",2,"SmallFam"
"404","0","3","male",28,1,0,15.85,"N","S","21-30","15-31","Mr.",2,"SmallFam"
"405","0","3","female",20,0,0,8.6625,"N","S","11-20","8-15","Miss.",1,"Single"
"406","0","2","male",34,1,0,21,"N","S","31-40","15-31","Mr.",2,"SmallFam"
"407","0","3","male",51,0,0,7.75,"N","S","51-60","0-8","Mr.",1,"Single"
"408","1","2","male",3,1,1,18.75,"N","S","0-10","15-31","Master.",3,"SmallFam"
"409","0","3","male",21,0,0,7.775,"N","S","21-30","0-8","Mr.",1,"Single"
"410","0","3","female",27,3,1,25.4667,"N","S","21-30","15-31","Miss.",5,"MediumFam"
"411","0","3","male",28,0,0,7.8958,"N","S","21-30","0-8","Mr.",1,"Single"
"412","0","3","male",28,0,0,6.8583,"N","Q","21-30","0-8","Mr.",1,"Single"
"413","1","1","female",33,1,0,90,"C","Q","31-40","31-99","Miss.",2,"SmallFam"
"414","0","2","male",28,0,0,21,"N","S","21-30","15-31","Mr.",1,"Single"
"415","1","3","male",44,0,0,7.925,"N","S","41-50","0-8","Mr.",1,"Single"
"416","0","3","female",27,0,0,8.05,"N","S","21-30","8-15","Mrs.",1,"Single"
"417","1","2","female",34,1,1,32.5,"N","S","31-40","31-99","Mrs.",3,"SmallFam"
"418","1","2","female",18,0,2,13,"N","S","11-20","8-15","Miss.",3,"SmallFam"
"419","0","2","male",30,0,0,13,"N","S","21-30","8-15","Mr.",1,"Single"
"420","0","3","female",10,0,2,24.15,"N","S","0-10","15-31","Miss.",3,"SmallFam"
"421","0","3","male",28,0,0,7.8958,"N","C","21-30","0-8","Mr.",1,"Single"
"422","0","3","male",21,0,0,7.7333,"N","Q","21-30","0-8","Mr.",1,"Single"
"423","0","3","male",29,0,0,7.875,"N","S","21-30","0-8","Mr.",1,"Single"
"424","0","3","female",28,1,1,14.4,"N","S","21-30","8-15","Mrs.",3,"SmallFam"
"425","0","3","male",18,1,1,20.2125,"N","S","11-20","15-31","Mr.",3,"SmallFam"
"426","0","3","male",28,0,0,7.25,"N","S","21-30","0-8","Mr.",1,"Single"
"427","1","2","female",28,1,0,26,"N","S","21-30","15-31","Mrs.",2,"SmallFam"
"428","1","2","female",19,0,0,26,"N","S","11-20","15-31","Miss.",1,"Single"
"429","0","3","male",28,0,0,7.75,"N","Q","21-30","0-8","Mr.",1,"Single"
"430","1","3","male",32,0,0,8.05,"E","S","31-40","8-15","Mr.",1,"Single"
"431","1","1","male",28,0,0,26.55,"C","S","21-30","15-31","Mr.",1,"Single"
"432","1","3","female",27,1,0,16.1,"N","S","21-30","15-31","Mrs.",2,"SmallFam"
"433","1","2","female",42,1,0,26,"N","S","41-50","15-31","Mrs.",2,"SmallFam"
"434","0","3","male",17,0,0,7.125,"N","S","11-20","0-8","Mr.",1,"Single"
"435","0","1","male",50,1,0,55.9,"E","S","41-50","31-99","Mr.",2,"SmallFam"
"436","1","1","female",14,1,2,120,"B","S","11-20","99-200","Miss.",4,"MediumFam"
"437","0","3","female",21,2,2,34.375,"N","S","21-30","31-99","Miss.",5,"MediumFam"
"438","1","2","female",24,2,3,18.75,"N","S","21-30","15-31","Mrs.",6,"LargeFam"
"439","0","1","male",64,1,4,263,"C","S","61-70","200-600","Mr.",6,"LargeFam"
"440","0","2","male",31,0,0,10.5,"N","S","31-40","8-15","Mr.",1,"Single"
"441","1","2","female",45,1,1,26.25,"N","S","41-50","15-31","Mrs.",3,"SmallFam"
"442","0","3","male",20,0,0,9.5,"N","S","11-20","8-15","Mr.",1,"Single"
"443","0","3","male",25,1,0,7.775,"N","S","21-30","0-8","Mr.",2,"SmallFam"
"444","1","2","female",28,0,0,13,"N","S","21-30","8-15","Otros.",1,"Single"
"445","1","3","male",28,0,0,8.1125,"N","S","21-30","8-15","Mr.",1,"Single"
"446","1","1","male",4,0,2,81.8583,"A","S","0-10","31-99","Master.",3,"SmallFam"
"447","1","2","female",13,0,1,19.5,"N","S","11-20","15-31","Miss.",2,"SmallFam"
"448","1","1","male",34,0,0,26.55,"N","S","31-40","15-31","Mr.",1,"Single"
"449","1","3","female",5,2,1,19.2583,"N","C","0-10","15-31","Miss.",4,"MediumFam"
"450","1","1","male",52,0,0,30.5,"C","S","51-60","15-31","Otros.",1,"Single"
"451","0","2","male",36,1,2,27.75,"N","S","31-40","15-31","Mr.",4,"MediumFam"
"452","0","3","male",28,1,0,19.9667,"N","S","21-30","15-31","Mr.",2,"SmallFam"
"453","0","1","male",30,0,0,27.75,"C","C","21-30","15-31","Mr.",1,"Single"
"454","1","1","male",49,1,0,89.1042,"C","C","41-50","31-99","Mr.",2,"SmallFam"
"455","0","3","male",28,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"456","1","3","male",29,0,0,7.8958,"N","C","21-30","0-8","Mr.",1,"Single"
"457","0","1","male",65,0,0,26.55,"E","S","61-70","15-31","Mr.",1,"Single"
"458","1","1","female",27,1,0,51.8625,"D","S","21-30","31-99","Mrs.",2,"SmallFam"
"459","1","2","female",50,0,0,10.5,"N","S","41-50","8-15","Miss.",1,"Single"
"460","0","3","male",28,0,0,7.75,"N","Q","21-30","0-8","Mr.",1,"Single"
"461","1","1","male",48,0,0,26.55,"E","S","41-50","15-31","Mr.",1,"Single"
"462","0","3","male",34,0,0,8.05,"N","S","31-40","8-15","Mr.",1,"Single"
"463","0","1","male",47,0,0,38.5,"E","S","41-50","31-99","Mr.",1,"Single"
"464","0","2","male",48,0,0,13,"N","S","41-50","8-15","Mr.",1,"Single"
"465","0","3","male",28,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"466","0","3","male",38,0,0,7.05,"N","S","31-40","0-8","Mr.",1,"Single"
"467","0","2","male",28,0,0,21,"N","S","21-30","15-31","Mr.",1,"Single"
"468","0","1","male",56,0,0,26.55,"N","S","51-60","15-31","Mr.",1,"Single"
"469","0","3","male",28,0,0,7.725,"N","Q","21-30","0-8","Mr.",1,"Single"
"470","1","3","female",0.75,2,1,19.2583,"N","C","0-10","15-31","Miss.",4,"MediumFam"
"471","0","3","male",28,0,0,7.25,"N","S","21-30","0-8","Mr.",1,"Single"
"472","0","3","male",38,0,0,8.6625,"N","S","31-40","8-15","Mr.",1,"Single"
"473","1","2","female",33,1,2,27.75,"N","S","31-40","15-31","Mrs.",4,"MediumFam"
"474","1","2","female",23,0,0,13.7917,"D","C","21-30","8-15","Mrs.",1,"Single"
"475","0","3","female",22,0,0,9.8375,"N","S","21-30","8-15","Miss.",1,"Single"
"476","0","1","male",28,0,0,52,"A","S","21-30","31-99","Mr.",1,"Single"
"477","0","2","male",34,1,0,21,"N","S","31-40","15-31","Mr.",2,"SmallFam"
"478","0","3","male",29,1,0,7.0458,"N","S","21-30","0-8","Mr.",2,"SmallFam"
"479","0","3","male",22,0,0,7.5208,"N","S","21-30","0-8","Mr.",1,"Single"
"480","1","3","female",2,0,1,12.2875,"N","S","0-10","8-15","Miss.",2,"SmallFam"
"481","0","3","male",9,5,2,46.9,"N","S","0-10","31-99","Master.",8,"LargeFam"
"482","0","2","male",28,0,0,21,"N","S","21-30","15-31","Mr.",1,"Single"
"483","0","3","male",50,0,0,8.05,"N","S","41-50","8-15","Mr.",1,"Single"
"484","1","3","female",63,0,0,9.5875,"N","S","61-70","8-15","Mrs.",1,"Single"
"485","1","1","male",25,1,0,91.0792,"B","C","21-30","31-99","Mr.",2,"SmallFam"
"486","0","3","female",27,3,1,25.4667,"N","S","21-30","15-31","Miss.",5,"MediumFam"
"487","1","1","female",35,1,0,90,"C","S","31-40","31-99","Mrs.",2,"SmallFam"
"488","0","1","male",58,0,0,29.7,"B","C","51-60","15-31","Mr.",1,"Single"
"489","0","3","male",30,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"490","1","3","male",9,1,1,15.9,"N","S","0-10","15-31","Master.",3,"SmallFam"
"491","0","3","male",28,1,0,19.9667,"N","S","21-30","15-31","Mr.",2,"SmallFam"
"492","0","3","male",21,0,0,7.25,"N","S","21-30","0-8","Mr.",1,"Single"
"493","0","1","male",55,0,0,30.5,"C","S","51-60","15-31","Mr.",1,"Single"
"494","0","1","male",71,0,0,49.5042,"N","C","71-80","31-99","Mr.",1,"Single"
"495","0","3","male",21,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"496","0","3","male",28,0,0,14.4583,"N","C","21-30","8-15","Mr.",1,"Single"
"497","1","1","female",54,1,0,78.2667,"D","C","51-60","31-99","Miss.",2,"SmallFam"
"498","0","3","male",28,0,0,15.1,"N","S","21-30","15-31","Mr.",1,"Single"
"499","0","1","female",25,1,2,151.55,"C","S","21-30","99-200","Mrs.",4,"MediumFam"
"500","0","3","male",24,0,0,7.7958,"N","S","21-30","0-8","Mr.",1,"Single"
"501","0","3","male",17,0,0,8.6625,"N","S","11-20","8-15","Mr.",1,"Single"
"502","0","3","female",21,0,0,7.75,"N","Q","21-30","0-8","Miss.",1,"Single"
"503","0","3","female",27,0,0,7.6292,"N","Q","21-30","0-8","Miss.",1,"Single"
"504","0","3","female",37,0,0,9.5875,"N","S","31-40","8-15","Miss.",1,"Single"
"505","1","1","female",16,0,0,86.5,"B","S","11-20","31-99","Miss.",1,"Single"
"506","0","1","male",18,1,0,108.9,"C","C","11-20","99-200","Mr.",2,"SmallFam"
"507","1","2","female",33,0,2,26,"N","S","31-40","15-31","Mrs.",3,"SmallFam"
"508","1","1","male",28,0,0,26.55,"N","S","21-30","15-31","Mr.",1,"Single"
"509","0","3","male",28,0,0,22.525,"N","S","21-30","15-31","Mr.",1,"Single"
"510","1","3","male",26,0,0,56.4958,"N","S","21-30","31-99","Mr.",1,"Single"
"511","1","3","male",29,0,0,7.75,"N","Q","21-30","0-8","Mr.",1,"Single"
"512","0","3","male",28,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"513","1","1","male",36,0,0,26.2875,"E","S","31-40","15-31","Mr.",1,"Single"
"514","1","1","female",54,1,0,59.4,"N","C","51-60","31-99","Mrs.",2,"SmallFam"
"515","0","3","male",24,0,0,7.4958,"N","S","21-30","0-8","Mr.",1,"Single"
"516","0","1","male",47,0,0,34.0208,"D","S","41-50","31-99","Mr.",1,"Single"
"517","1","2","female",34,0,0,10.5,"F","S","31-40","8-15","Mrs.",1,"Single"
"518","0","3","male",28,0,0,24.15,"N","Q","21-30","15-31","Mr.",1,"Single"
"519","1","2","female",36,1,0,26,"N","S","31-40","15-31","Mrs.",2,"SmallFam"
"520","0","3","male",32,0,0,7.8958,"N","S","31-40","0-8","Mr.",1,"Single"
"521","1","1","female",30,0,0,93.5,"B","S","21-30","31-99","Miss.",1,"Single"
"522","0","3","male",22,0,0,7.8958,"N","S","21-30","0-8","Mr.",1,"Single"
"523","0","3","male",28,0,0,7.225,"N","C","21-30","0-8","Mr.",1,"Single"
"524","1","1","female",44,0,1,57.9792,"B","C","41-50","31-99","Mrs.",2,"SmallFam"
"525","0","3","male",28,0,0,7.2292,"N","C","21-30","0-8","Mr.",1,"Single"
"526","0","3","male",40.5,0,0,7.75,"N","Q","41-50","0-8","Mr.",1,"Single"
"527","1","2","female",50,0,0,10.5,"N","S","41-50","8-15","Miss.",1,"Single"
"528","0","1","male",28,0,0,221.7792,"C","S","21-30","200-600","Mr.",1,"Single"
"529","0","3","male",39,0,0,7.925,"N","S","31-40","0-8","Mr.",1,"Single"
"530","0","2","male",23,2,1,11.5,"N","S","21-30","8-15","Mr.",4,"MediumFam"
"531","1","2","female",2,1,1,26,"N","S","0-10","15-31","Miss.",3,"SmallFam"
"532","0","3","male",28,0,0,7.2292,"N","C","21-30","0-8","Mr.",1,"Single"
"533","0","3","male",17,1,1,7.2292,"N","C","11-20","0-8","Mr.",3,"SmallFam"
"534","1","3","female",27,0,2,22.3583,"N","C","21-30","15-31","Mrs.",3,"SmallFam"
"535","0","3","female",30,0,0,8.6625,"N","S","21-30","8-15","Miss.",1,"Single"
"536","1","2","female",7,0,2,26.25,"N","S","0-10","15-31","Miss.",3,"SmallFam"
"537","0","1","male",45,0,0,26.55,"B","S","41-50","15-31","Otros.",1,"Single"
"538","1","1","female",30,0,0,106.425,"N","C","21-30","99-200","Miss.",1,"Single"
"539","0","3","male",28,0,0,14.5,"N","S","21-30","8-15","Mr.",1,"Single"
"540","1","1","female",22,0,2,49.5,"B","C","21-30","31-99","Miss.",3,"SmallFam"
"541","1","1","female",36,0,2,71,"B","S","31-40","31-99","Miss.",3,"SmallFam"
"542","0","3","female",9,4,2,31.275,"N","S","0-10","31-99","Miss.",7,"LargeFam"
"543","0","3","female",11,4,2,31.275,"N","S","11-20","31-99","Miss.",7,"LargeFam"
"544","1","2","male",32,1,0,26,"N","S","31-40","15-31","Mr.",2,"SmallFam"
"545","0","1","male",50,1,0,106.425,"C","C","41-50","99-200","Mr.",2,"SmallFam"
"546","0","1","male",64,0,0,26,"N","S","61-70","15-31","Mr.",1,"Single"
"547","1","2","female",19,1,0,26,"N","S","11-20","15-31","Mrs.",2,"SmallFam"
"548","1","2","male",28,0,0,13.8625,"N","C","21-30","8-15","Mr.",1,"Single"
"549","0","3","male",33,1,1,20.525,"N","S","31-40","15-31","Mr.",3,"SmallFam"
"550","1","2","male",8,1,1,36.75,"N","S","0-10","31-99","Master.",3,"SmallFam"
"551","1","1","male",17,0,2,110.8833,"C","C","11-20","99-200","Mr.",3,"SmallFam"
"552","0","2","male",27,0,0,26,"N","S","21-30","15-31","Mr.",1,"Single"
"553","0","3","male",28,0,0,7.8292,"N","Q","21-30","0-8","Mr.",1,"Single"
"554","1","3","male",22,0,0,7.225,"N","C","21-30","0-8","Mr.",1,"Single"
"555","1","3","female",22,0,0,7.775,"N","S","21-30","0-8","Miss.",1,"Single"
"556","0","1","male",62,0,0,26.55,"N","S","61-70","15-31","Mr.",1,"Single"
"557","1","1","female",48,1,0,39.6,"A","C","41-50","31-99","Otros.",2,"SmallFam"
"558","0","1","male",28,0,0,227.525,"N","C","21-30","200-600","Mr.",1,"Single"
"559","1","1","female",39,1,1,79.65,"E","S","31-40","31-99","Mrs.",3,"SmallFam"
"560","1","3","female",36,1,0,17.4,"N","S","31-40","15-31","Mrs.",2,"SmallFam"
"561","0","3","male",28,0,0,7.75,"N","Q","21-30","0-8","Mr.",1,"Single"
"562","0","3","male",40,0,0,7.8958,"N","S","31-40","0-8","Mr.",1,"Single"
"563","0","2","male",28,0,0,13.5,"N","S","21-30","8-15","Mr.",1,"Single"
"564","0","3","male",28,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"565","0","3","female",27,0,0,8.05,"N","S","21-30","8-15","Miss.",1,"Single"
"566","0","3","male",24,2,0,24.15,"N","S","21-30","15-31","Mr.",3,"SmallFam"
"567","0","3","male",19,0,0,7.8958,"N","S","11-20","0-8","Mr.",1,"Single"
"568","0","3","female",29,0,4,21.075,"N","S","21-30","15-31","Mrs.",5,"MediumFam"
"569","0","3","male",28,0,0,7.2292,"N","C","21-30","0-8","Mr.",1,"Single"
"570","1","3","male",32,0,0,7.8542,"N","S","31-40","0-8","Mr.",1,"Single"
"571","1","2","male",62,0,0,10.5,"N","S","61-70","8-15","Mr.",1,"Single"
"572","1","1","female",53,2,0,51.4792,"C","S","51-60","31-99","Mrs.",3,"SmallFam"
"573","1","1","male",36,0,0,26.3875,"E","S","31-40","15-31","Mr.",1,"Single"
"574","1","3","female",27,0,0,7.75,"N","Q","21-30","0-8","Miss.",1,"Single"
"575","0","3","male",16,0,0,8.05,"N","S","11-20","8-15","Mr.",1,"Single"
"576","0","3","male",19,0,0,14.5,"N","S","11-20","8-15","Mr.",1,"Single"
"577","1","2","female",34,0,0,13,"N","S","31-40","8-15","Miss.",1,"Single"
"578","1","1","female",39,1,0,55.9,"E","S","31-40","31-99","Mrs.",2,"SmallFam"
"579","0","3","female",27,1,0,14.4583,"N","C","21-30","8-15","Mrs.",2,"SmallFam"
"580","1","3","male",32,0,0,7.925,"N","S","31-40","0-8","Mr.",1,"Single"
"581","1","2","female",25,1,1,30,"N","S","21-30","15-31","Miss.",3,"SmallFam"
"582","1","1","female",39,1,1,110.8833,"C","C","31-40","99-200","Mrs.",3,"SmallFam"
"583","0","2","male",54,0,0,26,"N","S","51-60","15-31","Mr.",1,"Single"
"584","0","1","male",36,0,0,40.125,"A","C","31-40","31-99","Mr.",1,"Single"
"585","0","3","male",28,0,0,8.7125,"N","C","21-30","8-15","Mr.",1,"Single"
"586","1","1","female",18,0,2,79.65,"E","S","11-20","31-99","Miss.",3,"SmallFam"
"587","0","2","male",47,0,0,15,"N","S","41-50","8-15","Mr.",1,"Single"
"588","1","1","male",60,1,1,79.2,"B","C","51-60","31-99","Mr.",3,"SmallFam"
"589","0","3","male",22,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"590","0","3","male",28,0,0,8.05,"N","S","21-30","8-15","Mr.",1,"Single"
"591","0","3","male",35,0,0,7.125,"N","S","31-40","0-8","Mr.",1,"Single"
"592","1","1","female",52,1,0,78.2667,"D","C","51-60","31-99","Mrs.",2,"SmallFam"
"593","0","3","male",47,0,0,7.25,"N","S","41-50","0-8","Mr.",1,"Single"
"594","0","3","female",27,0,2,7.75,"N","Q","21-30","0-8","Miss.",3,"SmallFam"
"595","0","2","male",37,1,0,26,"N","S","31-40","15-31","Mr.",2,"SmallFam"
"596","0","3","male",36,1,1,24.15,"N","S","31-40","15-31","Mr.",3,"SmallFam"
"597","1","2","female",27,0,0,33,"N","S","21-30","31-99","Miss.",1,"Single"
"598","0","3","male",49,0,0,14,"N","S","41-50","8-15","Mr.",1,"Single"
"599","0","3","male",28,0,0,7.225,"N","C","21-30","0-8","Mr.",1,"Single"
"600","1","1","male",49,1,0,56.9292,"A","C","41-50","31-99","Otros.",2,"SmallFam"
"601","1","2","female",24,2,1,27,"N","S","21-30","15-31","Mrs.",4,"MediumFam"
"602","0","3","male",28,0,0,7.8958,"N","S","21-30","0-8","Mr.",1,"Single"
"603","0","1","male",28,0,0,42.4,"N","S","21-30","31-99","Mr.",1,"Single"
"604","0","3","male",44,0,0,8.05,"N","S","41-50","8-15","Mr.",1,"Single"
"605","1","1","male",35,0,0,26.55,"N","C","31-40","15-31","Mr.",1,"Single"
"606","0","3","male",36,1,0,15.55,"N","S","31-40","15-31","Mr.",2,"SmallFam"
"607","0","3","male",30,0,0,7.8958,"N","S","21-30","0-8","Mr.",1,"Single"
"608","1","1","male",27,0,0,30.5,"N","S","21-30","15-31","Mr.",1,"Single"
"609","1","2","female",22,1,2,41.5792,"N","C","21-30","31-99","Mrs.",4,"MediumFam"
"610","1","1","female",40,0,0,153.4625,"C","S","31-40","99-200","Miss.",1,"Single"
